phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
P475,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q71AV6,Q71AV6,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,Lactococcus lactis phage P475,,,,,none,medium,high
F198,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Gencay et al. 2018,10.3389/fmicb.2018.00082, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
DT57C,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,protein BtuB and O-polysaccharide (OPS),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Golomidova et al. 2015,10.3390/v8010026, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M57568.1,M57568.1,specific gene,BtuB,yes,https://www.uniprot.org/uniprotkb/A0A0A7RZA8,A0A0A7RZA8,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene BtuB,,,Escherichia coli,"Escherichia coli vitamin B-12 binding protein (btuB) gene, partial cds; and m-5-U54 transfer RNA methyltransferase (trmA) gene, complete cds",Escherichia phage DT57C,resolved,Branched Lateral Tail Fiber Organization in T5-Like Bacteriophages DT57C and DT571/2 is Revealed by Genetic and Functional Analysis,corroborated,13 independent record(s) link DT57C to BtuB,low,high,high
B6,yes,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",,,,,,high,medium,none
Gifsy-2,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,OmpC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Ho and Slauch 2001,10.1128/JB.183.4.1495–1498.2001, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/KY421795.1,KY421795.1,specific gene,OmpC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpC,phage present in UniProt but no tail/RBP protein annotated,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain E-2375 outer membrane protein C (ompC) gene, complete cds",,,,,,high,high,none
MP22,yes,long non-contractile,Siphoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,PilA of type IV pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Heo et al. 2007,10.1099/mic.0.2007/007260-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/AF331072.1,AF331072.1,specific gene,PilA,yes,https://www.uniprot.org/uniprotkb/A7Y8R6,A7Y8R6,specific RBP,Tip attachment protein J domain-containing protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene PilA,,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain SBI-N PilA (pilA) gene, complete cds; and PilO (pilO) gene, partial cds",Pseudomonas phage MP22,,,,,high,high,high
SPN19,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC or FljB,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,yes,https://www.uniprot.org/uniprotkb/K4F848,K4F848,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FliC,,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain SJW23 flagellin type 1 (fliC) gene, complete cds",Salmonella phage SPN19,,,,,high,high,high
fPS-85,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS outer core,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",,,,,,high,medium,none
fPS-59,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A2D0PEC5,A0A2D0PEC5,specific RBP,Phage tail fibers,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",Yersinia phage fPS-59,,,,,high,medium,high
fPS-90,yes,contractile,Myoviridae,Yersinia pesudotuberculosis,633,Yersinia pseudotuberculosis,Gram negative,cell wall,OmpF and LPS outer core oligosaccharides,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Salem et al. 2021,10.3390/v13020296, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/AY855840.1,AY855840.1,specific gene,OmpF,yes,https://www.uniprot.org/uniprotkb/A0A449C408,A0A449C408,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene OmpF,,PhReD spelling corrected for lookup: Yersinia pesudotuberculosis,Yersinia pseudotuberculosis,"Yersinia pseudotuberculosis OmpF precursor, gene, partial cds",Yersinia phage fPS-90,resolved,T4-like Bacteriophages Isolated from Pig Stools Infect Yersinia pseudotuberculosis and Yersinia pestis Using LPS and OmpF as Receptors,corroborated,5 independent record(s) link fPS-90 to OmpF,low,high,high
φM14,yes,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,lipopolysaccharide core residues,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Sinorhizobium meliloti RU11/001,"Sinorhizobium meliloti RU11/001 chromosome, complete genome",,,,,,high,medium,none
B40-8,yes,long non-contractile,Siphoviridae,Bacteriodes fragilis,817,Bacteroides fragilis,Gram negative,cell wall,BactA and BactB,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Puig et al. 2001,10.1099/00221287-147-2-281, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP196750.1,NZ_CP196750.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,PhReD spelling corrected for lookup: Bacteriodes fragilis,Bacteroides fragilis,"Bacteroides fragilis strain SLAM_BAF01 chromosome, complete genome",,,,,,none,medium,none
Iα,no,"none (icosahedral, ssRNA)",Leviviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,I pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Coetzee et al. 1982,10.1099/00221287-128-11-2797, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",,,,,,high,medium,none
LeviOr01,no,"none (icosahedral, ssRNA)",Leviviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,type IV pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Porcel et al. 2017,10.1099/jgv.0.000883, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain PA3 isolate PA3 chromosome 1, complete sequence",,,,,,high,medium,none
M6165,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2020,10.1099/jgv.0.000499, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: gene(s) YjaE not found,phage not found in UniProt,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,,,,,none,medium,none
fPS-52,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",,,,,,high,medium,none
φR1-RT,yes,contractile,Myoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,Protein OmpF and LPS inner core heptose residues,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Leon-Velarde et al. 2016,10.1128/AEM.01594-16, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/I7LES1,I7LES1,specific RBP,Tail fiber protein Gp35,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",host genome fallback: gene(s) OmpF not found,,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",Yersinia phage phiR1-RT,resolved,Yersinia enterocolitica-Specific Infection by Bacteriophages TG1 and ϕR1-RT Is Dependent on Temperature-Regulated Expression of the Phage Host Receptor OmpF,corroborated,4 independent record(s) link φR1-RT to OmpF,low,medium,high
B4,yes,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/J9PVK4,J9PVK4,specific RBP,Putative tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",Bacillus phage B4,,,,,high,medium,high
Phage A1,yes,short,Podoviridae,Mesorhizobium loti,381,Mesorhizobium loti,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Turska-Szewczuk and Russa 2000,10.1007/s002849910067, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033367.1,NZ_CP033367.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Mesorhizobium loti R88b,"Mesorhizobium loti R88b chromosome, complete genome",,,,,,high,medium,none
mEp390,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
F303,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Gencay et al. 2018,10.3389/fmicb.2018.00082, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
mEp416,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
