phage,tailed,tail_morphology,family,main_host,host_taxid,host_canonical_name,gram_stain,receptor_location,host_receptor,receptor_domain,domain_class,host_range,host_range_basis,host_range_confidence,host_range_note,reference,doi,comments,verified,has_genbank,genbank_link,genbank_accession,genbank_tier,genbank_gene,has_uniprot,uniprot_link,uniprot_accession,uniprot_tier,uniprot_protein,source,source_citation,date_retrieved,needs_review,review_reasons,domain_confidence,genbank_confidence,uniprot_confidence
MP22,True,long non-contractile,Siphoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,PilA of type IV pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Heo et al. 2007,10.1099/mic.0.2007/007260-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/AF331072.1,AF331072.1,specific gene,PilA,True,https://www.uniprot.org/uniprotkb/A7Y8R6,A7Y8R6,specific RBP,Tip attachment protein J domain-containing protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
SPN19,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC or FljB,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,True,https://www.uniprot.org/uniprotkb/K4F848,K4F848,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
fPS-85,True,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS outer core,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Salem et al. 2018,10.3390/v10040174, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
fPS-59,True,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A2D0PEC5,A0A2D0PEC5,specific RBP,Phage tail fibers,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
fPS-90,True,contractile,Myoviridae,Yersinia pesudotuberculosis,633,Yersinia pseudotuberculosis,Gram negative,cell wall,OmpF and LPS outer core oligosaccharides,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Salem et al. 2021,10.3390/v13020296, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/AY855840.1,AY855840.1,specific gene,OmpF,True,https://www.uniprot.org/uniprotkb/A0A449C408,A0A449C408,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,high
φM14,True,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,lipopolysaccharide core residues,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
B40-8,True,long non-contractile,Siphoviridae,Bacteriodes fragilis,817,Bacteroides fragilis,Gram negative,cell wall,BactA and BactB,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Puig et al. 2001,10.1099/00221287-147-2-281, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP196750.1,NZ_CP196750.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
Iα,False,"none (icosahedral, ssRNA)",Leviviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,I pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Coetzee et al. 1982,10.1099/00221287-128-11-2797, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
LeviOr01,False,"none (icosahedral, ssRNA)",Leviviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,type IV pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Porcel et al. 2017,10.1099/jgv.0.000883, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
M6165,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2020,10.1099/jgv.0.000499, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
fPS-52,True,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φR1-RT,True,contractile,Myoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,Protein OmpF and LPS inner core heptose residues,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Leon-Velarde et al. 2016,10.1128/AEM.01594-16, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/I7LES1,I7LES1,specific RBP,Tail fiber protein Gp35,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,medium,high
B4,True,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/J9PVK4,J9PVK4,specific RBP,Putative tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
Phage A1,True,short,Podoviridae,Mesorhizobium loti,381,Mesorhizobium loti,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Turska-Szewczuk and Russa 2000,10.1007/s002849910067, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033367.1,NZ_CP033367.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
mEp390,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
F303,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Gencay et al. 2018,10.3389/fmicb.2018.00082, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
mEp416,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
Mu G(-) (alternate host),True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,"Terminal glucose with a βl,3 glycosidic linkage",N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Sandulache et al. 1984,10.1128/jb.160.1.299-303.1984, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
χ,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,flagella,"loose association with flagella filament, secondary attachment to base of flagella",Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Schade et al. 1967,10.1128/jvi.1.3.599-609.1967, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
D4412,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,Pip,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Millen et al. 2016,10.1099/jgv.0.000499, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A192YAK7,A0A192YAK7,specific RBP,Tail fibers protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,receptor text does not support domain 'Membrane Proteins',high,medium,high
M6653,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2022,10.1099/jgv.0.000499, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
F375,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Ff,False,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,Pilum and mating pair formation structure,Tip of the F pilus followed by TolQRA complex in membrane after pilus retraction,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Loeb 1960; Caro and Schnos 1966; Russel et al. 1988; Click and Webster 1998,"10.1126/science.131.3404.932 (Loeb), 10.1073/pnas.56.1.126 (Caro and Schnos), 10.1128/jb.170.11.5312-5316.1988 (Russel et al), 10.1128/jb.180.7.1723-1728.1998 (Click and Webster)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,medium,none
F116,True,short,Podoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Pemberton 1973,10.1016/0042-6822(73)90203-1, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q5QF65,Q5QF65,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
S149,True,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
F384,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
645,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
mEp138,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
φKMV,True,short,Podoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,type IV pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Chibeu et al. 2009,10.1111/j.1574-6968.2009.01640.x, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q7Y2F5,Q7Y2F5,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
S107,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
